,Eigenvector,Closeness,Degree,In-Degree,Out-Degree,Betweenness
ALB,0.0007372324945128945,0.4677043964725727,0.9012875536480687,0.40772532188841204,0.49356223175965663,0.02255068817522569
AFG,0.0015512711556434728,0.4677043964725727,0.6137339055793991,0.40772532188841204,0.20600858369098712,0.006289773568151546
DZA,0.011228695902732812,0.5000456579307826,0.9957081545064378,0.463519313304721,0.5321888412017167,0.19942282077845197
AND,0.00017391033503987791,0.4272792009084086,0.3218884120171674,0.3218884120171674,0.0,0.0
AZE,0.001311307145454584,0.47479082672215717,0.9141630901287554,0.4206008583690987,0.49356223175965663,0.0270090276750037
ARG,0.01724523318096026,0.525187618385403,1.2875536480686696,0.5021459227467812,0.7854077253218884,1.8499334023975136e-05
AUS,0.06223432825202977,0.5949910360189058,1.4892703862660943,0.592274678111588,0.8969957081545065,0.0
AUT,0.03189588334402643,0.5465615330871344,1.4721030042918455,0.5321888412017167,0.9399141630901288,0.0011469587094864585
BHR,0.002539843149562178,0.5027196988822841,1.055793991416309,0.4678111587982833,0.5879828326180258,0.01642740861328992
BGD,0.012763262264053004,0.5507702994368503,0.5364806866952789,0.5364806866952789,0.0,0.0
ARM,0.0003166176618167452,0.44980183584204364,0.8111587982832618,0.37339055793991416,0.43776824034334766,0.06787405653396478
BEL,0.08782084241113833,0.5949910360189058,1.55793991416309,0.592274678111588,0.9656652360515021,0.00022199200828770165
BIH,0.0006320474143790379,0.46538902817320354,0.9699570815450643,0.4034334763948498,0.5665236051502146,0.016741897291697498
BWA,0.0005445608376365312,0.43123203527975745,0.8197424892703863,0.33476394849785407,0.48497854077253216,0.18669527896995708
BRA,0.05527433786336923,0.5434022178669776,1.463519313304721,0.5278969957081545,0.9356223175965666,5.549800207192541e-05
VGB,0.000531774019599867,0.4431779618724424,0.3562231759656652,0.3562231759656652,0.0,0.0
BGR,0.0039792234655068835,0.5465615330871344,1.3819742489270386,0.5321888412017167,0.8497854077253219,0.020090276750037
BLR,0.0025311817009298692,0.47479082672215717,1.1072961373390557,0.4206008583690987,0.6866952789699571,0.07131493266242415
CMR,0.0015108336193867368,0.5137081076010225,0.9699570815450643,0.48497854077253216,0.48497854077253216,0.006752256918750925
CAN,0.30310939670818304,0.6065069915547556,1.5493562231759657,0.6051502145922747,0.944206008583691,7.399733609590054e-05
CYM,0.0015918747460419301,0.43909337236209733,0.34763948497854075,0.34763948497854075,0.0,0.0
LKA,0.004563508895976874,0.525187618385403,1.3261802575107295,0.5021459227467812,0.8240343347639485,0.00418084948941838
TCD,0.00014503525565291603,0.46479639903695175,0.39914163090128757,0.39914163090128757,0.0,0.0
CHL,0.024744098294973576,0.5109162157118865,1.2489270386266094,0.48068669527896996,0.7682403433476395,0.0
CHN,0.36182216437475395,0.61847752428281,1.5278969957081545,0.6180257510729614,0.9098712446351931,0.0
COL,0.020821858725001443,0.5222699093943729,1.2789699570815452,0.4978540772532189,0.7811158798283262,0.0007214740269350303
COG,0.0011311468499545965,0.5095361593720594,0.47639484978540775,0.47639484978540775,0.0,0.0
HRV,0.003048719580651025,0.5000456579307826,1.2188841201716738,0.463519313304721,0.7553648068669527,0.00540180553500074
CYP,0.0014202643146749134,0.5222699093943729,1.3133047210300428,0.4978540772532189,0.8154506437768241,0.028396477726801834
CZE,0.0270780318179818,0.5497577993624977,1.4506437768240343,0.5364806866952789,0.9141630901287554,0.006530264910463223
BEN,0.0016802404906125174,0.5054224929622964,0.8841201716738197,0.4721030042918455,0.41201716738197425,0.01664940062157762
DNK,0.016990503441088434,0.5839042465278703,1.5321888412017168,0.5793991416309013,0.9527896995708155,0.0
GNQ,0.0004457380861535222,0.43909337236209733,0.34763948497854075,0.34763948497854075,0.0,0.0
ETH,0.0033944935038825257,0.4973999137089265,1.0686695278969958,0.4592274678111588,0.6094420600858369,0.01657540328548172
EST,0.0022802071503301136,0.4973999137089265,1.2317596566523605,0.4592274678111588,0.7725321888412017,0.0021089240787331657
FIN,0.01068991008724007,0.5663167692228139,1.48068669527897,0.5579399141630901,0.9227467811158798,0.00536480686695279
FRA,0.1261002467371976,0.61847752428281,1.5965665236051503,0.6180257510729614,0.9785407725321889,0.0
DJI,0.001540782425602246,0.4603056125728266,0.3905579399141631,0.3905579399141631,0.0,0.0
GEO,0.0013212799284613088,0.4973999137089265,0.9527896995708155,0.4592274678111588,0.49356223175965663,0.010137635045138375
DEU,0.18890270743389373,0.622573401927067,1.613733905579399,0.6223175965665236,0.9914163090128756,0.002756400769572295
GHA,0.004555407846312348,0.5434022178669776,1.0686695278969958,0.5278969957081545,0.5407725321888412,0.062398253662868136
GRC,0.008447660572364147,0.5595749029225423,1.4763948497854078,0.5493562231759657,0.927038626609442,0.033835281929850525
GIN,0.0010290842413729082,0.49115083403389237,0.44635193133047213,0.44635193133047213,0.0,0.0
HKG,0.23637433083469436,0.5987807878406823,1.4334763948497855,0.5965665236051502,0.8369098712446352,0.0
HUN,0.018304365570457257,0.5109162157118865,1.3562231759656653,0.48068669527896996,0.8755364806866953,3.699866804795027e-05
IDN,0.03853855372370041,0.5802998993270809,1.5150214592274678,0.575107296137339,0.9399141630901288,0.005161314192689063
IRN,0.014092838422840603,0.5293514544587506,0.5064377682403434,0.5064377682403434,0.0,0.0
IRQ,0.008020292588921235,0.5109162157118865,0.5321888412017167,0.48068669527896996,0.05150214592274678,0.0
IRL,0.02262865695793542,0.5663167692228139,1.4506437768240343,0.5579399141630901,0.8927038626609443,0.002164422080805091
ISR,0.02441730389704532,0.5193844402816968,1.3047210300429184,0.49356223175965663,0.8111587982832618,0.0019794287405653396
ITA,0.08257048545877584,0.6065069915547556,1.5622317596566524,0.6051502145922747,0.9570815450643777,0.0
CIV,0.0018772213006361753,0.5383235130088989,0.51931330472103,0.51931330472103,0.0,0.0
JPN,0.1787906619356454,0.6065069915547556,1.5150214592274678,0.6051502145922747,0.9098712446351931,0.0
JOR,0.004659269945050399,0.5311219417569893,1.1545064377682404,0.5107296137339056,0.6437768240343348,5.549800207192541e-05
KEN,0.0047958697737610235,0.5383235130088989,0.51931330472103,0.51931330472103,0.0,0.0
KOR,0.13224647729336944,0.5949910360189058,1.536480686695279,0.592274678111588,0.944206008583691,0.0006104780227911794
KWT,0.007878186438457871,0.5341396800624268,1.1158798283261802,0.5150214592274678,0.6008583690987125,0.002996892111883972
KGZ,0.0033299334415776835,0.43123203527975745,0.6995708154506438,0.33476394849785407,0.3648068669527897,0.05213112327956193
LBN,0.004004442904111916,0.5595749029225423,1.257510729613734,0.5493562231759657,0.7081545064377682,0.026639040994524195
LVA,0.002537685114683263,0.5000456579307826,1.3047210300429184,0.463519313304721,0.8412017167381974,0.012746041142518868
LBR,0.0024787110836074896,0.4936956570081612,0.45064377682403434,0.45064377682403434,0.0,0.0
LBY,0.0016974582190983566,0.48122859496250053,0.4291845493562232,0.4291845493562232,0.0,0.0
LTU,0.003556513280056486,0.5165306796208083,1.3390557939914163,0.4892703862660944,0.8497854077253219,0.005697794879384342
LUX,0.00592071035301702,0.4973999137089265,1.2918454935622317,0.4592274678111588,0.8326180257510729,0.03511173597750481
MAC,0.004619027417137038,0.4434367155235241,0.4721030042918455,0.3605150214592275,0.11158798283261803,0.004273346159538257
MYS,0.050612061745997285,0.5839042465278703,1.5064377682403434,0.5793991416309013,0.927038626609442,0.0003144886784075773
MLT,0.002820991639577972,0.5165306796208083,1.2360515021459229,0.4892703862660944,0.7467811158798283,0.06990898327660204
MUS,0.0009095774669768863,0.5027196988822841,1.1072961373390557,0.4678111587982833,0.6394849785407726,0.006992748261062601
MEX,0.2684896748167152,0.5529916687705124,1.407725321888412,0.5407725321888412,0.8669527896995708,0.0024604114251886933
,0.032132282032660525,0.622573401927067,1.553648068669528,0.6266094420600858,0.927038626609442,0.02552908095308569
MDA,0.00036633646808600294,0.4455383113316925,0.9098712446351931,0.3648068669527897,0.5450643776824035,0.006234275566079621
MNE,0.00020183924060365903,0.43321927968196833,0.6781115879828327,0.33905579399141633,0.33905579399141633,0.0
MAR,0.007780980145873944,0.5434022178669776,1.2918454935622317,0.5278969957081545,0.7639484978540773,0.0
OMN,0.005936252808073348,0.5081545064377683,1.1072961373390557,0.47639484978540775,0.630901287553648,0.03281781855853189
NLD,0.1347111492218761,0.6026191262242764,1.5965665236051503,0.6008583690987125,0.9957081545064378,0.0
NZL,0.009699921892466467,0.5529916687705124,1.44206008583691,0.5407725321888412,0.9012875536480687,0.00042548468255142815
NER,0.00021205907017288463,0.463096471384173,0.776824034334764,0.39914163090128757,0.37768240343347637,0.0022569187509249664
NGA,0.010263838332465,0.5434022178669776,1.0171673819742488,0.5278969957081545,0.4892703862660944,0.016445907947313897
NOR,0.014366449797227851,0.5629256508442342,1.4506437768240343,0.5536480686695279,0.8969957081545065,0.009249667011987569
MHL,0.0048749916374001695,0.4124816528250005,0.2875536480686695,0.2875536480686695,0.0,0.0
PAK,0.015203112723923244,0.5663167692228139,1.390557939914163,0.5579399141630901,0.8326180257510729,0.0
PER,0.014118895037014042,0.5081545064377683,1.1888412017167382,0.47639484978540775,0.7124463519313304,0.006511765576439248
POL,0.04294811897322134,0.5732230712865068,1.5150214592274678,0.5665236051502146,0.9484978540772532,0.00018499334023975135
PRT,0.011710352638437583,0.5839042465278703,1.4892703862660943,0.5793991416309013,0.9098712446351931,0.02269868284741749
QAT,0.009475188229810243,0.5193844402816968,1.1716738197424892,0.49356223175965663,0.6781115879828327,0.0
ROU,0.01184532533680977,0.5311219417569893,1.3733905579399142,0.5107296137339056,0.8626609442060086,0.0007214740269350303
RUS,0.04419637028292167,0.5732230712865068,1.4163090128755365,0.5665236051502146,0.8497854077253219,0.0032003847861476987
SAU,0.04158028745529578,0.5663167692228139,1.2489270386266094,0.5579399141630901,0.6909871244635193,0.0
SEN,0.002140495455899558,0.5137081076010225,1.1030042918454936,0.48497854077253216,0.6180257510729614,0.0704639632973213
SRB,0.0021016952665856257,0.49219153764914725,1.1888412017167382,0.45064377682403434,0.7381974248927039,0.009342163682107444
IND,0.08317671247189164,0.5987807878406823,1.5321888412017168,0.5965665236051502,0.9356223175965666,0.003533372798579251
SGP,0.07908373051343084,0.5875536480686695,1.51931330472103,0.5836909871244635,0.9356223175965666,0.0
SVK,0.010436687600170563,0.5109162157118865,1.3433476394849786,0.48068669527896996,0.8626609442060086,0.040661536184697346
VNM,0.06568725119996864,0.5949910360189058,1.201716738197425,0.592274678111588,0.6094420600858369,0.0
SVN,0.0052654926874647874,0.5193844402816968,1.3390557939914163,0.49356223175965663,0.8454935622317596,0.004365842829658132
ZAF,0.019812372089708232,0.5663167692228139,1.48068669527897,0.5579399141630901,0.9227467811158798,0.0002034926742637265
ESP,0.061578039988893545,0.5949910360189058,1.5708154506437768,0.592274678111588,0.9785407725321889,0.0
SDN,0.001752115723507422,0.5068258606519953,0.4721030042918455,0.4721030042918455,0.0,0.0
SWZ,0.00010942018235023741,0.4515794398226308,0.37339055793991416,0.37339055793991416,0.0,0.0
SWE,0.025167381297923876,0.5732230712865068,1.5493562231759657,0.5665236051502146,0.9828326180257511,0.039940062157762315
CHE,0.06384286296665595,0.6026191262242764,1.553648068669528,0.6008583690987125,0.9527896995708155,0.012764540476542845
SYR,0.0007929069168588821,0.4693756739043109,0.40772532188841204,0.40772532188841204,0.0,0.0
THA,0.05238190274305019,0.5875536480686695,1.5493562231759657,0.5836909871244635,0.9656652360515021,0.0011099600414385081
TGO,0.0020772018399531174,0.4845803283040573,0.8111587982832618,0.43776824034334766,0.37339055793991416,0.03553722066005623
ARE,0.0640654411313406,0.5949910360189058,1.4763948497854078,0.592274678111588,0.8841201716738197,0.0
TUN,0.0035403563661406197,0.5165306796208083,1.184549356223176,0.4892703862660944,0.6952789699570815,0.0022384194169009913
TUR,0.039548432697604885,0.5802998993270809,1.5107296137339055,0.575107296137339,0.9356223175965666,0.007085244931182477
TKM,0.0008471537418553505,0.43909337236209733,0.34763948497854075,0.34763948497854075,0.0,0.0
UGA,0.000801122859760689,0.4973999137089265,1.03862660944206,0.4592274678111588,0.5793991416309013,0.05479502737901435
UKR,0.006830409402205979,0.5434022178669776,1.3433476394849786,0.5278969957081545,0.8154506437768241,0.001498446055941986
